"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1305 2012-03-07 536.800003 537.779999 523.299988 530.69001 199630200 70.209476 4.46934711902127 4.7432461848855
1306 2012-03-08 534.689995 542.989998 532.120003 541.989975 129114300 71.704444 4.24270126722588 4.64313720135357
1307 2012-03-09 544.209999 547.740013 543.110001 545.170021 104729800 72.125159 4.15934671458789 4.54637910400044
1308 2012-03-12 548.979988 551.999977 547.000023 551.999977 101820600 73.028752 4.1158228285169 4.46026784890373
1309 2012-03-13 557.540024 568.18 555.750023 568.099998 172713800 75.15876 4.15956438497733 4.40012715611845
1310 2012-03-14 578.050026 594.719994 575.399979 589.580009 354711000 78.000533 4.4448323314985 4.40906819119446
1311 2012-03-15 599.609985 600.009995 578.550011 585.559998 289929500 77.468692 4.92160648801938 4.51157585055944
1312 2012-03-16 584.719978 589.199974 577.999985 585.569984 206371900 77.470013 5.01089311456249 4.61143930336005
1313 2012-03-19 598.37001 601.769981 589.050011 601.100006 225309000 79.524611 5.21114339195194 4.73138012107843
1314 2012-03-20 599.51001 606.899979 591.480026 605.959984 204165500 80.167578 5.31544359640419 4.84819281614358
1315 2012-03-21 602.73999 609.650002 601.410027 602.499985 161010500 79.709826 5.37406192879872 4.95336663867461
1316 2012-03-22 597.779984 604.499977 595.529999 599.340019 155967700 79.291767 5.28351444937352 5.01939620081439
1317 2012-03-23 600.490005 601.799995 594.399986 596.050011 107622200 78.856504 5.18563715446716 5.05264439154495
1318 2012-03-26 599.790016 607.150024 595.259979 606.97998 148935500 80.302522 5.03659592773713 5.04943469878338
1319 2012-03-27 606.180016 616.280006 606.060013 614.480019 151782400 81.294766 4.94662775118127 5.02887330926296
1320 2012-03-28 618.379974 621.450005 610.30999 617.62001 163865100 81.710182 4.98115444005671 5.01932953542171
1321 2012-03-29 612.780006 616.560013 607.230026 609.859993 152059600 80.683544 4.87096294673561 4.98965621768449
1322 2012-03-30 608.769981 610.559982 597.939987 599.550011 182759500 79.319549 4.6725377790114 4.92623252994987
1323 2012-04-02 601.830009 618.769997 600.37999 618.63002 149587900 81.843805 4.36955483379593 4.81489699071908
1324 2012-04-03 627.300018 632.209984 622.510002 629.319984 208639900 83.258071 4.42061406819991 4.73604040621525
1325 2012-04-04 624.349991 625.859985 617.000023 624.30999 143245200 82.595256 4.36680612446194 4.66219354986459
1326 2012-04-05 626.980011 634.660027 623.400009 633.679977 160324500 83.834891 4.30641689328273 4.59103821854822
1327 2012-04-09 626.130005 639.840012 625.300026 636.229996 149384200 84.172255 4.19614201783574 4.51205897840572
1328 2012-04-10 639.93 644 626.000015 628.440018 222431300 83.141653 4.2391035271504 4.45746788815466
1329 2012-04-11 636.199982 636.87001 623.339981 626.20002 174153700 82.845304 4.17225842323479 4.40042599517068
1330 2012-04-12 624.999992 631.330017 620.500023 622.769981 153584200 82.391515 3.9257503953041 4.30549087519737
1331 2012-04-13 624.109985 624.700012 603.509995 605.22998 214911200 80.071 3.67587555668105 4.1795678114941
1332 2012-04-16 610.059998 610.279976 578.249977 580.13002 262696700 76.750314 3.25688074132366 3.99503039746002
1333 2012-04-17 578.93998 610.000023 571.910019 609.699989 256382000 80.662375 2.48781055710379 3.69358642938877
1334 2012-04-18 613.720001 620.249977 602.709976 608.340012 238632800 80.482452 2.3098400026154 3.4168371440341
1335 2012-04-19 600.219986 604.729996 584.519974 587.439987 208679800 77.717411 1.9678833125446 3.1270463777362
1336 2012-04-20 591.379997 594.620018 570.419998 572.980003 257746300 75.804378 1.56162117581733 2.81396133735243
1337 2012-04-23 570.610016 576.670021 556.620003 571.699974 241632300 75.635032 0.950575066918802 2.4412840832657
1338 2012-04-24 562.609993 567.690002 554.999992 560.280006 269037300 74.124187 0.351252022915705 2.0232776711957
1339 2012-04-25 615.639992 617.999992 605.999985 610.000023 226444400 80.702069 0.585033502395982 1.73562883743576
1340 2012-04-26 614.269974 614.69001 602.12999 607.699997 134017100 80.39778 0.742203959737786 1.53694386189616
1341 2012-04-27 605.069977 606.180016 600.499992 603.000023 101680600 79.77598 0.734293114819429 1.37641371248082
1342 2012-04-30 597.800011 598.400024 582.999992 583.979988 126536200 77.259659 0.62325704648758 1.22578237928217
1343 2012-05-01 584.900009 596.759987 581.230019 582.130013 152749800 77.01491 0.357556396894076 1.05213718280455
1344 2012-05-02 580.239983 587.399986 578.859978 585.97998 106847300 77.524255 0.0824092057116976 0.85819158738598
1345 2012-05-03 590.499977 591.400024 580.300011 581.819992 97637400 76.973895 0.00276761055886254 0.687106792020557
1346 2012-05-04 577.080017 578.359993 565.169998 565.25 132498100 74.78171 -0.24012428029434 0.501660577557577
1347 2012-05-07 561.500008 572.770012 561.229988 569.480003 115029600 75.341333 -0.639576391042918 0.273413183837478
1348 2012-05-08 569.579979 571.500023 558.730011 568.18 124313000 75.169344 -0.837789329058236 0.0511726812583355
1349 2012-05-09 563.700005 573.980026 560.850006 569.180023 120176000 75.301646 -1.06518369019273 -0.172098593031877
1350 2012-05-10 574.579987 575.87999 568.43998 570.519974 83300000 75.478919 -1.08321434428323 -0.354321743282149
1351 2012-05-11 565.000008 574.470024 564.350006 566.710007 99886500 74.974867 -1.21717744950453 -0.526892884526624
